uzr_id,uzr_avatar,create_time,delete_time,uzr_email,uzr_first_name,is_active,uzr_last_name,uzr_password,uzr_role,uzr_specialities,update_time
0e97e01f-2ac0-4e52-acd6-910c82218ca3,"https://sun9-80.userapi.com/s/v1/if1/q0n6zcy7y_KOUBqaeebG2tEldbEFsT8Q14Sl-JClhSUwtcOZqrFpEHb3XHu9LmrkxF7wacPs.jpg?size=200x200&quality=96&crop=82,82,656,656&ava=1",2023-05-24 10:21:32.413178,,admin2,Артём,f,Майоров,$2a$10$t742helesMRQ.G/6nanoPuUAcQXj44je9I/qgUc4Grx.6PxvdMA6a,ADMIN,FRONTEND,
c37e9646-7dd3-4755-bd36-b34db6dc1fef,https://tl.rulate.ru/i/addition/Book/162004/1620043/main_608fe3e3d315f.jpg,2023-05-24 10:21:32.522596,,admin4,Дима,f,Ленивый,$2a$10$3prTPruBWHhGKzWLY181T.hr7e0.yqi.a37oydvbc2B85IW4P.LYe,ADMIN,FRONTEND,
fab36610-f7dd-4e08-bb59-24d66e3590e8,https://i.ytimg.com/vi/p3aOgllm0ck/maxresdefault.jpg,2023-05-24 10:21:32.600714,,nagibator3000,Александр,f,Красавцев,$2a$10$hAc/Jhi6NcHspNZ77xhmKuUS5p8ACLAULt81tQK1L3KRGapAqU4Uu,ADMIN,FRONTEND,
46cacbb9-17a5-44c0-9b09-13e7aaf40fa7,https://i.ytimg.com/vi/p3aOgllm0ck/maxresdefault.jpg,2023-05-24 10:21:32.600714,,nagibator3000,Александр,f,Красавцев,$2a$10$hAc/Jhi6NcHspNZ77xhmKuUS5p8ACLAULt81tQK1L3KRGapAqU4Uu,ADMIN,FRONTEND,
95d78241-cfc8-42a8-a079-aba8cca6a231,,2023-05-24 10:21:32.785355,,phillip.mante@mail.ru,Marcell,t,Donnelly,$2a$10$W1tS8zOTzvOvBg1P6lkaNekErXWesWP8AsSMZjZruHyl88JVUoBnO,USER,FRONTEND,
32b98eba-dd84-40a5-8f3e-aac4402317b3,,2023-05-24 10:21:32.86347,,ruthie.kemmer@mail.ru,Luetta,t,Gutkowski,$2a$10$nObXV8Oh.GqKI9RdVy8nJ.uaQTm0MYdryOdZhTZz/4RzTqGlPvLTi,USER,FRONTEND,
02cb8289-2393-4823-b4ea-fd919115e4b1,,2023-05-24 10:21:32.941595,,ricki.parisian@mail.ru,Stephen,t,Jacobson,$2a$10$9O2Jqh8jKjJqitNEICdFMeGbq3G20VgioKgH1bJy3hUv9dVx5KvQe,USER,FRONTEND,
eb0c5138-d842-48a8-80a4-6b2feb98d074,,2023-05-24 10:21:33.01975,,hank.farrell@mail.ru,Lilliam,t,Rempel,$2a$10$A4IYCVWCrS.ga7wxRYRVk.oXJ8F2DZXxvljpPBFWs9b6eob6wd5i.,USER,FRONTEND,
582017a5-1634-4b2e-acb6-94031969f65d,,2023-05-24 10:21:33.097843,,beryl.lakin@mail.ru,Jennie,t,Feil,$2a$10$NFdWUM2W4Kpx1TGxthXz2eo0o8zDbqB9ySH0UxxjXq.PUjHxUWZJe,USER,FRONTEND,
feaa4a8c-eef8-4db4-a193-0face0fb3b52,,2023-05-24 10:21:33.175998,,matthew.mayert@mail.ru,Duncan,t,Streich,$2a$10$wGp4ksMbEV6isxVcDgnEr.IzzwT195B.uBDiRjtFy5/rN5lACoD/W,USER,FRONTEND,
